FUND ID,TRANSACTION DATE,TRANSACTION TYPE,TRANSACTION AMOUNT
1767,2020-08-15T00:00:00Z,Capital Call,-102734.68733392657
1767,2016-11-15T00:00:00Z,Capital Call,-267500.0202126801
1767,2017-11-15T00:00:00Z,Capital Call,-300913.11595104635
1767,2018-11-15T00:00:00Z,Capital Call,-930867.1245574951
1767,2019-11-15T00:00:00Z,Capital Call,-221171.57039437443
1767,2020-11-15T00:00:00Z,Capital Call,-352614.1819231212
1767,2016-05-16T00:00:00Z,Capital Call,-171561.55601218343
1767,2017-05-16T00:00:00Z,Capital Call,-407624.09206759185
1767,2019-05-16T00:00:00Z,Capital Call,-1111770.2469175681
1767,2015-12-31T00:00:00Z,Capital Call,-192503.5587064922
1767,2020-05-16T00:00:00Z,Distribution,299538.24309268995
1767,2016-06-30T00:00:00Z,Value,715766.3033669762
1767,2017-06-30T00:00:00Z,Value,1444974.2485095125
1767,2018-06-30T00:00:00Z,Value,3133447.783817765
1767,2019-06-30T00:00:00Z,Value,6596647.81769997
1767,2020-06-30T00:00:00Z,Value,8287446.245662761
1767,2016-09-30T00:00:00Z,Value,793064.7472780274
1767,2017-09-30T00:00:00Z,Value,1606510.2240583866
1767,2018-09-30T00:00:00Z,Value,3772060.5334105566
1767,2019-09-30T00:00:00Z,Value,6599299.047888728
1767,2020-09-30T00:00:00Z,Value,8569682.048227366
1767,2016-03-31T00:00:00Z,Value,590459.8306324243
1767,2017-03-31T00:00:00Z,Value,1058744.3644934061
1767,2018-03-31T00:00:00Z,Value,2906186.859089217
1767,2019-03-31T00:00:00Z,Value,5265986.745951071
1767,2020-03-31T00:00:00Z,Value,8385575.117578615
1767,2015-12-31T00:00:00Z,Value,119237.50566872711
1767,2016-12-31T00:00:00Z,Value,1067516.2160703763
1767,2017-12-31T00:00:00Z,Value,2284371.7136109713
1767,2018-12-31T00:00:00Z,Value,4944975.722913175
1767,2019-12-31T00:00:00Z,Value,7125817.575864091
1767,2020-12-31T00:00:00Z,Value,14053006.535010725
190,1997-12-01T00:00:00Z,Capital Call,-722396.2149347515
190,1997-04-07T00:00:00Z,Capital Call,-1275088.1173759077
190,1995-03-08T00:00:00Z,Capital Call,-164692.75611320854
190,1995-12-08T00:00:00Z,Capital Call,-1207000.5413199351
190,1998-12-08T00:00:00Z,Capital Call,-232390.32715685596
190,1996-09-09T00:00:00Z,Capital Call,-24798.32458037138
190,1995-02-10T00:00:00Z,Capital Call,-1055487.7819901423
190,1998-06-15T00:00:00Z,Capital Call,-1165843.5183808801
190,1999-08-16T00:00:00Z,Capital Call,-146029.07487420525
190,1995-04-17T00:00:00Z,Capital Call,-1554318.7295459213
190,1998-05-19T00:00:00Z,Capital Call,-343981.11058428546
190,2001-07-22T00:00:00Z,Capital Call,-7425.73598819973
190,1996-05-24T00:00:00Z,Capital Call,-1286641.735603909
190,1996-08-30T00:00:00Z,Capital Call,-817052.2936262619
190,1999-11-05T00:00:00Z,Distribution,694346.2668001769
190,1996-05-06T00:00:00Z,Distribution,253816.61434168406
190,1998-12-11T00:00:00Z,Distribution,768576.465021694
190,1998-05-12T00:00:00Z,Distribution,592165.256912911
190,2000-08-12T00:00:00Z,Distribution,1064909.8522475513
190,2012-02-15T00:00:00Z,Distribution,101691.11431050728
190,2005-08-15T00:00:00Z,Distribution,764930.263092084
190,2003-11-15T00:00:00Z,Distribution,435119.33404355147
190,2005-11-15T00:00:00Z,Distribution,929615.6922269634
190,2006-11-15T00:00:00Z,Distribution,125574.93423073452
190,2007-05-16T00:00:00Z,Distribution,484509.6143951225
190,1996-08-16T00:00:00Z,Distribution,405101.3281969041
190,1999-08-16T00:00:00Z,Distribution,1469748.2678539397
190,1997-03-18T00:00:00Z,Distribution,349268.88722677075
190,1997-11-18T00:00:00Z,Distribution,410677.64838086476
190,2000-04-19T00:00:00Z,Distribution,2335516.4062788556
190,1997-12-22T00:00:00Z,Distribution,440798.5706718619
190,2000-03-24T00:00:00Z,Distribution,2350755.371571433
190,1998-06-25T00:00:00Z,Distribution,729610.345468788
190,1999-01-29T00:00:00Z,Distribution,594689.8298658889
190,1997-07-31T00:00:00Z,Distribution,394236.8232706301
190,2002-06-30T00:00:00Z,Value,3109642.499415554
190,2004-06-30T00:00:00Z,Value,2284484.496270305
190,2005-06-30T00:00:00Z,Value,2318294.893111203
190,2007-06-30T00:00:00Z,Value,134676.62373510003
190,2008-06-30T00:00:00Z,Value,136263.74554975238
190,2009-06-30T00:00:00Z,Value,106284.99719787577
190,2010-06-30T00:00:00Z,Value,104353.91189690531
190,2011-06-30T00:00:00Z,Value,103510.7029181607
190,2012-06-30T00:00:00Z,Value,0
190,2013-06-30T00:00:00Z,Value,0
190,2014-06-30T00:00:00Z,Value,0
190,2015-06-30T00:00:00Z,Value,0
190,2016-06-30T00:00:00Z,Value,0
190,2017-06-30T00:00:00Z,Value,0
190,2018-06-30T00:00:00Z,Value,0
190,2019-06-30T00:00:00Z,Value,0
190,2020-06-30T00:00:00Z,Value,0
190,2004-09-30T00:00:00Z,Value,2309279.55646916
190,2005-09-30T00:00:00Z,Value,1507286.3005092964
190,2006-09-30T00:00:00Z,Value,636950.7799828798
190,2007-09-30T00:00:00Z,Value,124131.28879967667
190,2008-09-30T00:00:00Z,Value,132497.78015450333
190,2009-09-30T00:00:00Z,Value,92283.03011000232
190,2011-09-30T00:00:00Z,Value,104122.22520572542
190,2012-09-30T00:00:00Z,Value,0
190,2013-09-30T00:00:00Z,Value,0
190,2014-09-30T00:00:00Z,Value,0
190,2015-09-30T00:00:00Z,Value,0
190,2016-09-30T00:00:00Z,Value,0
